date_time,standardgas,fastgas,rapidgas,pendingcount,avgtxnsperblock
2022-03-27 17:36:22,370 Gwei,397 Gwei,434 Gwei,277 Txns,19 Txns
2022-03-27 17:37:05,301 Gwei,301 Gwei,301 Gwei,14 Txns,8 Txns
2022-03-27 17:37:48,301 Gwei,301 Gwei,378 Gwei,44 Txns,11 Txns
2022-03-27 17:38:30,379 Gwei,379 Gwei,379 Gwei,428 Txns,5 Txns
2022-03-27 17:39:12,422 Gwei,540 Gwei,1123 Gwei,962 Txns,33 Txns
2022-03-27 17:39:53,387 Gwei,417 Gwei,1100 Gwei,725 Txns,34 Txns
2022-03-27 17:40:34,378 Gwei,379 Gwei,409 Gwei,185 Txns,18 Txns
2022-03-27 17:41:15,287 Gwei,287 Gwei,379 Gwei,33 Txns,6 Txns
2022-03-27 17:41:57,287 Gwei,287 Gwei,287 Gwei,30 Txns,7 Txns
2022-03-27 17:42:39,300 Gwei,300 Gwei,300 Gwei,12 Txns,9 Txns
2022-03-27 17:43:20,327 Gwei,327 Gwei,327 Gwei,11 Txns,6 Txns
2022-03-27 17:44:01,290 Gwei,290 Gwei,290 Gwei,18 Txns,6 Txns
2022-03-27 17:44:41,265 Gwei,265 Gwei,265 Gwei,6 Txns,4 Txns
2022-03-27 17:45:22,265 Gwei,365 Gwei,389 Gwei,103 Txns,14 Txns
2022-03-27 17:46:03,265 Gwei,265 Gwei,265 Gwei,11 Txns,4 Txns
2022-03-27 17:46:45,335 Gwei,335 Gwei,335 Gwei,13 Txns,6 Txns
2022-03-27 17:47:26,300 Gwei,396 Gwei,1000 Gwei,109 Txns,16 Txns
2022-03-27 17:48:07,346 Gwei,394 Gwei,560 Gwei,163 Txns,17 Txns
2022-03-27 17:48:48,319 Gwei,319 Gwei,359 Gwei,26 Txns,20 Txns
2022-03-27 17:49:29,319 Gwei,319 Gwei,374 Gwei,53 Txns,9 Txns
2022-03-27 17:50:10,318 Gwei,318 Gwei,318 Gwei,9 Txns,5 Txns
2022-03-27 17:50:50,319 Gwei,319 Gwei,400 Gwei,73 Txns,14 Txns
2022-03-27 17:51:32,322 Gwei,322 Gwei,386 Gwei,40 Txns,13 Txns
2022-03-27 17:52:13,371 Gwei,371 Gwei,371 Gwei,16 Txns,5 Txns
2022-03-27 17:52:53,305 Gwei,305 Gwei,305 Gwei,11 Txns,4 Txns
2022-03-27 17:53:34,255 Gwei,255 Gwei,255 Gwei,5 Txns,4 Txns
2022-03-27 17:54:15,240 Gwei,296 Gwei,297 Gwei,109 Txns,12 Txns
2022-03-27 17:54:56,233 Gwei,233 Gwei,233 Gwei,45 Txns,9 Txns
2022-03-27 17:55:38,233 Gwei,347 Gwei,1000 Gwei,125 Txns,16 Txns
2022-03-27 17:56:20,568 Gwei,5000 Gwei,5000 Gwei,342 Txns,30 Txns
2022-03-27 17:57:01,470 Gwei,472 Gwei,728 Gwei,1008 Txns,25 Txns
2022-03-27 17:57:42,470 Gwei,470 Gwei,687 Gwei,728 Txns,28 Txns
2022-03-27 17:58:23,2012 Gwei,2410 Gwei,6463 Gwei,1061 Txns,34 Txns
2022-03-27 17:59:04,2012 Gwei,2012 Gwei,2600 Gwei,1058 Txns,38 Txns
2022-03-27 17:59:46,761 Gwei,1025 Gwei,2012 Gwei,1007 Txns,32 Txns
2022-03-27 18:00:26,507 Gwei,712 Gwei,1021 Gwei,859 Txns,23 Txns
2022-03-27 18:01:07,489 Gwei,761 Gwei,2012 Gwei,788 Txns,34 Txns
2022-03-27 18:01:48,594 Gwei,594 Gwei,753 Gwei,701 Txns,36 Txns
2022-03-27 18:02:29,436 Gwei,470 Gwei,650 Gwei,514 Txns,35 Txns
2022-03-27 18:03:10,423 Gwei,470 Gwei,587 Gwei,355 Txns,42 Txns
2022-03-27 18:03:50,470 Gwei,800 Gwei,800 Gwei,415 Txns,25 Txns
2022-03-27 18:04:31,470 Gwei,850 Gwei,850 Gwei,402 Txns,40 Txns
2022-03-27 18:05:12,317 Gwei,393 Gwei,470 Gwei,149 Txns,17 Txns
