date_time,standardgas,fastgas,rapidgas,pendingcount,avgtxnsperblock,avgnetworkutilization
2022-03-21 22:35:36,68.8 nAVAX,69.4 nAVAX,70.9 nAVAX,3018 Txns,16 Txns,46.68%
2022-03-21 22:35:52,67 nAVAX,68.2 nAVAX,69.2 nAVAX,3025 Txns,17 Txns,46.66%
2022-03-21 22:36:09,66.1 nAVAX,66.7 nAVAX,67.2 nAVAX,3018 Txns,20 Txns,46.66%
2022-03-22 20:44:38,85.7 nAVAX,86.7 nAVAX,87.7 nAVAX,4277 Txns,21 Txns,46.15%
2022-03-28 00:01:43,97.9 nAVAX,99.4 nAVAX,99.9 nAVAX,1281 Txns,29 Txns,45.28%
2022-03-28 00:02:02,95.2 nAVAX,96.2 nAVAX,96.7 nAVAX,1278 Txns,20 Txns,45.22%
2022-03-28 00:02:22,97.6 nAVAX,99.1 nAVAX,124.4 nAVAX,1298 Txns,26 Txns,45.24%
2022-03-28 00:02:40,97.1 nAVAX,98.2 nAVAX,98.7 nAVAX,1304 Txns,23 Txns,45.24%
2022-03-28 00:02:59,95.5 nAVAX,96.5 nAVAX,97 nAVAX,1288 Txns,24 Txns,45.22%
2022-03-28 00:03:17,95.3 nAVAX,95.7 nAVAX,98.2 nAVAX,1281 Txns,19 Txns,45.21%
2022-03-28 00:03:36,97.3 nAVAX,97.3 nAVAX,99.8 nAVAX,1296 Txns,20 Txns,45.24%
2022-03-28 00:03:54,96.6 nAVAX,96.6 nAVAX,97.1 nAVAX,1308 Txns,22 Txns,45.24%
2022-03-28 00:04:12,95.7 nAVAX,95.7 nAVAX,96.2 nAVAX,1296 Txns,21 Txns,45.24%
2022-03-28 00:04:31,101.5 nAVAX,101.5 nAVAX,104 nAVAX,1314 Txns,21 Txns,45.26%
2022-03-28 00:04:49,102.3 nAVAX,103.2 nAVAX,103.7 nAVAX,1328 Txns,27 Txns,45.27%
2022-03-28 00:05:08,102.6 nAVAX,103.1 nAVAX,103.6 nAVAX,1336 Txns,19 Txns,45.27%
2022-03-28 00:05:27,101.5 nAVAX,102.9 nAVAX,105 nAVAX,1321 Txns,16 Txns,45.28%
2022-03-28 00:05:46,98.5 nAVAX,99.6 nAVAX,101 nAVAX,1344 Txns,35 Txns,45.35%
2022-03-28 00:06:04,102.8 nAVAX,102.8 nAVAX,104.3 nAVAX,1345 Txns,18 Txns,45.32%
2022-03-28 00:06:22,102.3 nAVAX,102.3 nAVAX,102.8 nAVAX,1320 Txns,24 Txns,45.33%
2022-03-28 00:06:41,98.9 nAVAX,99.2 nAVAX,100.7 nAVAX,1332 Txns,19 Txns,45.32%
2022-03-28 00:07:00,99.7 nAVAX,99.7 nAVAX,102.2 nAVAX,1320 Txns,19 Txns,45.33%
2022-03-28 00:07:18,100.2 nAVAX,100.5 nAVAX,103 nAVAX,1329 Txns,18 Txns,45.34%
2022-03-28 00:07:37,102.3 nAVAX,103.3 nAVAX,103.8 nAVAX,1351 Txns,20 Txns,45.35%
2022-03-28 00:07:55,101.8 nAVAX,101.8 nAVAX,103.3 nAVAX,1350 Txns,17 Txns,45.36%
2022-03-28 00:08:13,97.8 nAVAX,98.3 nAVAX,98.3 nAVAX,1340 Txns,16 Txns,45.33%
2022-03-28 00:08:32,100.6 nAVAX,100.6 nAVAX,103.1 nAVAX,1319 Txns,20 Txns,45.35%
2022-03-28 00:08:50,98.8 nAVAX,98.8 nAVAX,99.3 nAVAX,1320 Txns,19 Txns,45.35%
2022-03-28 00:09:08,96.9 nAVAX,96.9 nAVAX,97.4 nAVAX,1327 Txns,18 Txns,45.32%
2022-03-28 00:09:26,99.1 nAVAX,99.6 nAVAX,100.1 nAVAX,1317 Txns,18 Txns,45.36%
2022-03-28 00:09:44,96.7 nAVAX,96.7 nAVAX,97.2 nAVAX,1314 Txns,19 Txns,45.35%
2022-03-28 00:10:02,99.5 nAVAX,99.5 nAVAX,101 nAVAX,1347 Txns,16 Txns,45.35%
2022-03-28 00:10:21,100.8 nAVAX,101.8 nAVAX,103.3 nAVAX,1336 Txns,13 Txns,45.38%
2022-03-28 00:10:39,98.7 nAVAX,98.7 nAVAX,99.2 nAVAX,1325 Txns,22 Txns,45.38%
2022-03-28 00:10:58,96.7 nAVAX,96.7 nAVAX,97.2 nAVAX,1318 Txns,20 Txns,45.38%
2022-03-28 00:11:16,98.5 nAVAX,98.5 nAVAX,99.5 nAVAX,1343 Txns,18 Txns,45.37%
2022-03-28 00:11:34,96.3 nAVAX,96.3 nAVAX,98.8 nAVAX,1306 Txns,16 Txns,45.40%
2022-03-28 00:11:54,92.6 nAVAX,92.6 nAVAX,93.1 nAVAX,1277 Txns,15 Txns,45.38%
2022-03-28 00:12:13,89.9 nAVAX,90.1 nAVAX,90.4 nAVAX,1285 Txns,20 Txns,45.38%
2022-03-28 00:12:31,91 nAVAX,91.1 nAVAX,93.6 nAVAX,1301 Txns,21 Txns,45.40%
2022-03-28 00:12:49,89.2 nAVAX,89.2 nAVAX,91.7 nAVAX,1285 Txns,17 Txns,45.38%
2022-03-28 00:13:08,85.3 nAVAX,85.3 nAVAX,85.8 nAVAX,1268 Txns,18 Txns,45.36%
2022-03-28 00:13:26,82.2 nAVAX,82.7 nAVAX,83.2 nAVAX,1237 Txns,25 Txns,45.33%
2022-03-28 00:13:44,80.8 nAVAX,81.2 nAVAX,81.7 nAVAX,1231 Txns,18 Txns,45.32%
2022-03-28 00:14:02,80.4 nAVAX,80.4 nAVAX,80.9 nAVAX,1220 Txns,25 Txns,45.33%
2022-03-28 00:14:20,81.4 nAVAX,81.6 nAVAX,81.9 nAVAX,1263 Txns,18 Txns,45.31%
2022-03-28 00:14:38,84.2 nAVAX,84.2 nAVAX,85.7 nAVAX,1249 Txns,41 Txns,45.40%
2022-03-28 00:14:56,83.1 nAVAX,83.1 nAVAX,84.6 nAVAX,1254 Txns,15 Txns,45.36%
